轮次,INFP_任务进度,INFP_创意数量,INFP_冲突数量,INFP_满意度,ESTP_任务进度,ESTP_创意数量,ESTP_冲突数量,ESTP_满意度
1,0.032,10,0,0.512,0.035,13.0,0.0,0.646
2,0.065,10,0,0.522,0.073,10.0,0.0,0.710
3,0.102,11,0,0.532,0.112,10.0,0.0,0.742
4,0.139,7,0,0.542,0.151,10.0,0.0,0.761
5,0.173,8,0,0.551,0.192,9.0,0.0,0.775
6,0.206,7,0,0.560,0.232,12.0,0.0,0.787
7,0.241,9,0,0.569,0.274,8.0,0.0,0.799
8,0.276,6,0,0.578,0.382,12.0,0.0,0.867
9,0.314,11,0,0.588,0.425,9.0,1.0,0.862
10,0.355,11,0,0.599,0.469,8.0,0.0,0.866
11,0.397,11,0,0.610,0.513,12.0,0.0,0.875
12,0.444,11,1,0.622,0.644,9.0,0.0,0.932
13,0.489,11,0,0.634,0.763,13.0,0.0,0.951
14,0.534,11,0,0.646,0.810,10.0,0.0,0.950
15,0.582,10,0,0.658,1.000,11.0,0.0,0.969
16,0.628,9,0,0.670,,,,
17,0.671,10,0,0.682,,,,
18,0.716,11,0,0.694,,,,
19,0.758,11,0,0.706,,,,
20,0.798,10,0,0.717,,,,
21,0.899,12,1,0.784,,,,
22,0.939,11,0,0.777,,,,
23,0.976,10,0,0.780,,,,
24,1.000,12,0,0.786,,,,
